FIPS,STATE,STNAME,NAME
50001,CS,Casablanca-Settat,Casablanca
50002,RK,Rabat-Salé-Kénitra,Rabat
50003,FM,Fès-Meknès,Fes
50004,CS,Casablanca-Settat,Tangier
50005,CS,Casablanca-Settat,Marrakesh
50006,RK,Rabat-Salé-Kénitra,Salé
50007,CS,Casablanca-Settat,Agadir
50008,FM,Fès-Meknès,Meknes
50009,CS,Casablanca-Settat,Oujda
50010,CS,Casablanca-Settat,Kenitra
50011,CS,Casablanca-Settat,Tétouan
50012,CS,Casablanca-Settat,Al Hoceïma
50013,CS,Casablanca-Settat,Temara
50014,CS,Casablanca-Settat,Safi
50015,CS,Casablanca-Settat,Mohammedia
50016,CS,Casablanca-Settat,Khouribga
50017,CS,Casablanca-Settat,El Jadida
50018,CS,Casablanca-Settat,Beni Mellal
50019,RK,Rabat-Salé-Kénitra,Salé Al Jadida
50020,CS,Casablanca-Settat,Ait Melloul
50021,CS,Casablanca-Settat,Nador
50022,CS,Casablanca-Settat,Dar Bouazza
50023,CS,Casablanca-Settat,Taza
50024,CS,Casablanca-Settat,Settat
50025,CS,Casablanca-Settat,Berrechid
50026,CS,Casablanca-Settat,Khemisset
50027,CS,Casablanca-Settat,Inezgane
50028,CS,Casablanca-Settat,Ksar El Kebir
50029,CS,Casablanca-Settat,Larache
50030,CS,Casablanca-Settat,Guelmim
50031,CS,Casablanca-Settat,Khenifra
50032,CS,Casablanca-Settat,Berkane
50033,CS,Casablanca-Settat,Taourirt
50034,CS,Casablanca-Settat,Bouskoura
50035,CS,Casablanca-Settat,Al Fqih Ben Çalah
50036,CS,Casablanca-Settat,Oued Zem
50037,CS,Casablanca-Settat,El Kelaa des Srarhna
50038,CS,Casablanca-Settat,Sidi Slimane
50039,CS,Casablanca-Settat,Errachidia
50040,CS,Casablanca-Settat,Guercif
50041,CS,Casablanca-Settat,Oulad Teïma
50042,CS,Casablanca-Settat,Ben Guerir
50043,CS,Casablanca-Settat,Ouislane
50044,CS,Casablanca-Settat,Tiflet
50045,CS,Casablanca-Settat,Lqoliaa
50046,CS,Casablanca-Settat,Taroudant
50047,CS,Casablanca-Settat,Sefrou
50048,CS,Casablanca-Settat,Essaouira
50049,CS,Casablanca-Settat,Fnidek
50050,CS,Casablanca-Settat,Sidi Kacem
50051,CS,Casablanca-Settat,Tiznit
50052,CS,Casablanca-Settat,Tan-Tan
50053,CS,Casablanca-Settat,Ouarzazate
50054,CS,Casablanca-Settat,Souk El Arbaa
50055,CS,Casablanca-Settat,Youssoufia
50056,CS,Casablanca-Settat,Ifrane
50057,CS,Casablanca-Settat,Lahraouyine
50058,CS,Casablanca-Settat,Martil
50059,CS,Casablanca-Settat,Aïn Harrouda
50060,CS,Casablanca-Settat,Souq Sebt Oulad Nemma
50061,CS,Casablanca-Settat,Skhirate
50062,CS,Casablanca-Settat,Ouezzane
50063,CS,Casablanca-Settat,Benslimane
50064,CS,Casablanca-Settat,Beni Enzar
50065,CS,Casablanca-Settat,Mdiq
50066,CS,Casablanca-Settat,Sidi Bennour
50067,CS,Casablanca-Settat,Midelt
50068,CS,Casablanca-Settat,Azrou
50069,CS,Casablanca-Settat,Tirhanimîne
50070,CS,Casablanca-Settat,My Drarga
50071,CS,Casablanca-Settat,Ain El Aouda
50072,CS,Casablanca-Settat,Ben Jerrar
50073,CS,Casablanca-Settat,Ad Darwa
50074,CS,Casablanca-Settat,Al Aaroui
50075,CS,Casablanca-Settat,Kasba Tadla
50076,CS,Casablanca-Settat,Bejaâd
50077,CS,Casablanca-Settat,Sidi Taibi
50078,CS,Casablanca-Settat,Jerada
50079,CS,Casablanca-Settat,Chefchaouen
50080,CS,Casablanca-Settat,Mrirt
50081,CS,Casablanca-Settat,Tinghir
50082,CS,Casablanca-Settat,El Aïoun
50083,CS,Casablanca-Settat,Azemmour
50084,CS,Casablanca-Settat,Souq Larb’a al Gharb
50085,CS,Casablanca-Settat,Zagora
50086,CS,Casablanca-Settat,Ait Ourir
50087,CS,Casablanca-Settat,Azilal
50088,CS,Casablanca-Settat,Smara
50089,CS,Casablanca-Settat,Sidi Yahia El Gharb
50090,CS,Casablanca-Settat,Tine Biougra
50091,CS,Casablanca-Settat,Taounate
50092,CS,Casablanca-Settat,Bouznika
50093,CS,Casablanca-Settat,Had Soualem
50094,CS,Casablanca-Settat,Imzouren
50095,CS,Casablanca-Settat,Zaïo
50096,CS,Casablanca-Settat,Aourir
50097,CS,Casablanca-Settat,El Hajeb
50098,CS,Casablanca-Settat,Zeghanghane
50099,CS,Casablanca-Settat,Ben Ahmed
50100,CS,Casablanca-Settat,Tit Mellil
