FIPS,STATE,STNAME,NAME
50001,CS,Grand Casablanca-Settat,Casablanca
50002,CS,Grand Casablanca-Settat,Mohammedia
50003,CS,Grand Casablanca-Settat,El Jadida
50004,CS,Grand Casablanca-Settat,Settat
50005,CS,Grand Casablanca-Settat,Dar Bouazza
50006,CS,Grand Casablanca-Settat,Berrechid
50007,CS,Grand Casablanca-Settat,Bouskoura
50008,RS,Rabat-Salé-Kénitra,Rabat
50009,RS,Rabat-Salé-Kénitra,Salé
50010,RS,Rabat-Salé-Kénitra,Kenitra
50011,RS,Rabat-Salé-Kénitra,Temara
50012,RS,Rabat-Salé-Kénitra,Salé Al Jadida
50013,RS,Rabat-Salé-Kénitra,Khemisset
50014,RS,Rabat-Salé-Kénitra,Sidi Slimane
50015,RS,Rabat-Salé-Kénitra,Tiflet
50016,FM,Fès-Meknès,Fes
50017,FM,Fès-Meknès,Meknes
50018,FM,Fès-Meknès,Taza
50019,FM,Fès-Meknès,Sefrou
50020,FM,Fès-Meknès,Ouislane
50021,MS,Marrakech-Safi,Marrakesh
50022,MS,Marrakech-Safi,Safi
50023,MS,Marrakech-Safi,El Kelaa des Srarhna
50024,MS,Marrakech-Safi,Ben Guerir
50025,MS,Marrakech-Safi,Essaouira
50026,TH,Tanger-Tétouan-Al Hoceïma,Tangier
50027,TH,Tanger-Tétouan-Al Hoceïma,Tétouan
50028,TH,Tanger-Tétouan-Al Hoceïma,Al Hoceïma
50029,TH,Tanger-Tétouan-Al Hoceïma,Ksar El Kebir
50030,TH,Tanger-Tétouan-Al Hoceïma,Larache
50031,TH,Tanger-Tétouan-Al Hoceïma,Fnidek
50032,SM,Souss-Massa,Agadir
50033,SM,Souss-Massa,Ait Melloul
50034,SM,Souss-Massa,Inezgane
50035,SM,Souss-Massa,Guelmim
50036,SM,Souss-Massa,Oulad Teïma
50037,SM,Souss-Massa,Taroudant
50038,SM,Souss-Massa,Tiznit
50039,SM,Souss-Massa,Lqoliaa
50040,BM,Béni Mellal-Khénifra,Khouribga
50041,BM,Béni Mellal-Khénifra,Beni Mellal
50042,BM,Béni Mellal-Khénifra,Khenifra
50043,BM,Béni Mellal-Khénifra,Al Fqih Ben Çalah
50044,BM,Béni Mellal-Khénifra,Oued Zem
50045,OR,Oriental,Oujda
50046,OR,Oriental,Nador
50047,OR,Oriental,Berkane
50048,OR,Oriental,Taourirt
50049,OR,Oriental,Guercif
50050,DT,Drâa-Tafilalet,Errachidia
50051,DT,Drâa-Tafilalet,Ouarzazate
